Excel File,Formulas Used
ExcelTask1\R_3fOivnF6bHP8V5z_TasksPhoneNumbers_MODIFIED.xlsm,
ExcelTask1\R_xDdSbivVgoguQVz_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2YMrrHQtua6fYoB_PhoneNumbers1.xlsm,
ExcelTask1\R_1geGXzLhUthPf4y_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_1QKFE4zIm0knVGX_TasksPhoneNumbers1.xlsm,
ExcelTask1\TasksPhoneNumbers_WorkerID_A3V6LYW2T3O8UM.xlsm,"MID, FIND"
ExcelTask1\R_33BXtenntOvPBQK_TasksPhoneNumbers.xlsm,"LEFT, RIGHT"
ExcelTask1\R_3k52IJEAoWDXYeY_TasksPhoneNumbers.xlsm,"RIGHT, LEFT, CONCATENATE"
ExcelTask1\R_3PoGdWVPpvhqzE0_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_OwHSY0a4nNhnRLz_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3PBjzXobZIry3M1_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3frFfBxIL8DsGOL_TaskPhoneNumbers.xlsm,
ExcelTask1\R_3Dtgc6vNihMxxGT_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1QN7OE37NZPle4g_TasksPhoneNumbers.xlsm,
ExcelTask1\R_9WXZh7HtmJdliPD_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Kpzw3zdQOui66R_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2ByMXRBMoX1ycnz_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2V8ZXDLOVzXVmXj_TasksPhoneNumbers.xlsm,
ExcelTask1\R_eyBuKvdKY3kfbbj_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1XfUhi8oVQhkDXX_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3OqY0fB5oxpKh3E_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2t9DBTM8rSQjLQC_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1FfRMsSvnE8DB4L_version13arena.xlsm,"IF, CONCATENATE, LN, ROUND, COUNTA"
ExcelTask1\R_2zVhoUYhELedukJ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_26gvth4PtHrIZXr_TasksPhoneNumbers.xlsm,
ExcelTask1\R_31hB9FE5vRsAG3B_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3sjBGzskLIgpqEu_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1nPnMa3bAxENGYm_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2QXJbnVhvL3HI1B_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1QawGAI2jP71rnq_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2xxBZqnaFLQ9zoI_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1OSS7pAwi1aQW37_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1E0C0d9xmKXZZiB_TasksPhoneNumbers.xlsm,
ExcelTask1\R_86wTMjGIf6x1XP3_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1qVPpqdxziOE9lN_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3m4wG0RHgWsAmzK_TasksPhoneNumbers.xlsm,
ExcelTask1\R_XIkkFv0X7W7YzSx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1CrVs0GjgKYvXLH_TasksPhoneNumbers.xlsm,"FIND, MID"
ExcelTask1\R_82ifgig2FuGogjn_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_UsVFuNiJ6iWoQwx_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3fMBGRh7VWxjLN3_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1CmsSE1HxBpkAHN_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2WI1Apx9CNDquXh_TasksPhoneNumbers.xlsm,
ExcelTask1\R_31gZ0oeRbYwAZVa_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_10xBrAgtZRzB3oC_TasksPhoneNumbers.xlsm,SEARCH
ExcelTask1\R_3325KP5Rf3tQHHt_TasksPhoneNumbers.xlsm,"TRIM, MID, FIND"
ExcelTask1\R_etXbqYV3MZCsWNH_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1mwupJv5bdpiYn8_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_3FWCIp182eJZsAF_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2f7GTtgJqJVI8Al_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_5alV8pw8vXPBhDP_TasksPhoneNumbers.xlsm,
ExcelTask1\R_AFIevdlOQXO8nPr_Book1.xlsm,
ExcelTask1\R_s6GA34x1r0gkgyR_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2VPya0M4GmQMkt2_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2S9cZcunJSu22KC_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1rv20iBuJ2aGX6v_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2ZBxPQQuIh03i2y_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1q3OqUmUVD6iHFu_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2yk0EaOIM0llddf_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2foZBLpU5YiVjy6_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3CCTyayWKgpETGx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1Kfj6YGfrUOy17k_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1kFdIneRvNb4qBJ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3qxO4xx6mRfE7Qw_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2YujoL3fpWN1MVR_TasksPhoneNumbers_AWPPIW21DGL29.xlsm,"MID, FIND"
ExcelTask1\R_1K1lnMXCxMYomHM_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1GwEACx4CdjSCq7_TasksPhoneNumbers.xlsm,
ExcelTask1\R_ZsL9bsVxhUTGPzH_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2VpFE23ecNj770d_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2zhDHyoXSfRJspE_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1oC2k3Tv5aP7xCz_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2DZ8abGEdChsseh_TasksPhoneNumbers.xlsm,SEARCH
ExcelTask1\R_3I9VnAJ3T7et8XK_excel_task.xlsm,
ExcelTask1\R_333EJHkBiipdkIF_TasksPhoneNumbers.xlsm,
ExcelTask1\R_8HMNwiGwYyvSSHf_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3lR0ETf2zo8fGfo_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3R2BhEPCVPeE2cl_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2e5aIxyuH4dvYww_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_11ZX0AMyiV6GMXI_Mturk__Task_Phone_Numbers.xlsm,
ExcelTask1\R_21bak3A5ppAJxc4_TasksPhoneNumbers.xlsm,
ExcelTask1\R_UAYwc8efPX2oozT_Copy_of_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_31T5hrWjGxv6pjF_TasksPhoneNumbers.xlsm,
ExcelTask1\R_T1s6loOg6MQKeAh_TasksPhoneNumbers.xlsm,
ExcelTask1\R_264iq94dmLrjpFb_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1F2LeIkY68xSV8A_TasksPhoneNumbers.xlsm,"REPLACE, MAX, IFERROR, MID, SUBSTITUTE, ROW, INDIRECT, LEN"
ExcelTask1\R_1oqomAdHVPjma3C_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3k1fypmO1deGhdk_TasksPhoneNumbers.xlsm,"CONCATENATE, RIGHT, LEFT"
ExcelTask1\R_1g8fkCQyVHbryH4_TasksPhoneNumbers.xlsm,
ExcelTask1\R_VUSM9WMOqTqtTO1_Copy_of_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_3EnUULMCF9DdBM8_Copy_of_TasksPhoneNumbers_MTurk.xlsm,"MID, FIND"
ExcelTask1\R_ewB25SPl4uinZ4Z_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_u20b2OeA8Z4XhKx_TasksPhoneNumbers.xlsm,"IF, ISNUMBER, VALUE, LEFT, MID, FIND"
ExcelTask1\R_8CkCbpfW0vdD6mJ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_0BZacAYgUfhlJ4t_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_01TFUl89Du14arL_TasksPhoneNumbers.xlsm,
ExcelTask1\R_ZKJ1yEjU3emJS25_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2Ys3XBqMAcOHjzk_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3G6A6v0QvDZzZn4_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2dN5w4TlCR0GV0d_Book1.xlsm,
ExcelTask1\R_30uG2ZwXnT77bbn_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1Iav5JUUpVhaf2T_TasksPhoneNumbers.xlsm,"CONCATENATE, RIGHT, LEFT"
ExcelTask1\R_22RGEJ3eXGKBsCR_TasksPhoneNumbers.xlsm,"REPLACE, MAX, IFERROR, MID, SUBSTITUTE, ROW, INDIRECT, LEN"
ExcelTask1\R_79TM6HBPHElEJCp_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2X5y6kBlbeXI273_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3lGfMjxJv029NPC_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2f9cPSILaZMPIIa_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1IS1QCfSEqzfkdY_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2tyhofKxwVXrAUZ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_237Ub0pOqJfVgDK_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_eqFANimg30kH9Dj_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Dcm3B18ZokdSYK_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1meIYFnN84YWwQi_AHC93QS2XG6M7.xlsm,"MID, SEARCH"
ExcelTask1\R_2S3mQvg16EbdHes_TasksPhoneNumbers.xlsm,
ExcelTask1\R_33x4m3phREPXtz3_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2wmY6xsP2zkRxrC_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3qdNWdqdUShVOlj_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3iLnSYQU5zbMeyh_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2t8NfQweVtuOb0v_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1DAbbkfcThldf77_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2znFawfxa8IrAEz_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3dYTvqYTaCQ9na1_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2xPhLqKvdJu84a7_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2SqoC3So8Lkv8M2_TasksPhoneNumbers_A10PFZZSONQ18A.xlsm,"FIND, MID"
ExcelTask1\R_3e2HOgWptfKDSlU_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1OB868ITvVihwky_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_TbFxazSl3UKTU8p_TasksPhoneNumbers.xlsm,
ExcelTask1\R_30oEu0bO9GWir9l_TaskPhoneNumbers.xlsm,"LEFT, RIGHT, LEN, SEARCH"
ExcelTask1\R_12SBYBxOs56dx5N_TasksPhoneNumbers.xlsm,"MIDB, FINDB"
ExcelTask1\R_2zpaZQmr1vq2aMY_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Oddi8WMAkmsoGP_TasksPhoneNumbers.xlsm,"MID, RIGHT, FIND"
ExcelTask1\R_eVfiZofa15WU8Qp_TasksPhoneNumbers.xlsm,
ExcelTask1\R_BEcMuhtRR8BZFiF_TasksPhoneNumbers.xlsm,
ExcelTask1\R_Rn9E1oODMgqRs1H_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3EuRpSYfmELXZWP_TasksPhoneNumbers.xlsm,"SEARCH, MID"
ExcelTask1\R_2PznedSFpTR8csx_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1oBdhOQRXzw5pfy_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1okjaiJLmhWm9Ei_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3fCR6aPLeQdAjfJ_TasksPhoneNumbers.xlsm,"SUMPRODUCT, MID, LARGE, INDEX, ISNUMBER, ROW"
ExcelTask1\R_ZgAvRiIpsxThvax_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_3RkedcJ63KrS9vF_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3oSb3ieF4UL8Ghj_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_2Ucm3hA9iuk65wv_TasksPhoneNumbers_1.xlsm,"MID, FIND"
ExcelTask1\R_3gT5E50pSLIt2bc_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_eFhs3oq4QJwRsSl_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2rUUkN94POj5L73_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2zINfzVvJ7lCULy_TasksPhoneNumbers.xlsm,
ExcelTask1\R_QoYxGdmcam5WICJ_Copy_of_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1db2RxGqWcJjjYe_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3NWnyWeUbHkGBbg_TasksPhoneNumbers.xlsm,"LEFT, RIGHT, LEN, FIND"
ExcelTask1\R_2rCvMD5pYJOVsPE_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Oif4gUo6e2v68O_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2P0ydx0bX5HR6tX_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2UgXHmixRT59KZv_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_10GaUghkZtYX2m4_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3oTLROkmtVi3R6S_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1PaUi2B0SUYVhE0_TasksPhoneNumbers_parsed.xlsm,
ExcelTask1\R_2PALVkpPhMemJRI_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2OSAuMUP2qmnu4g_TasksPhoneNumbers.xlsx,
ExcelTask1\R_4OsDi7hWwkxSZqN_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3DoPbhCpg57tHE3_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2aQ4aBFgmKW0wSd_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3nT2tKVejaLZCW6_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2S9b9rfS6a4zt9V_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1OYWo6hDz6tBtYU_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1gAvgfnSbnqKkF5_TasksPhoneNumbers.xlsm,
ExcelTask1\R_31ynADcO8ASrHhL_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_22tqUir8O7BtZSi_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2rYGrFIgk8mmnn0_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2pPmFg6EtnJbbZC_TasksPhoneNumbersA3N28BORDIK55A.xlsm,"MID, FIND"
ExcelTask1\R_269Fyy70p4JToIN_TasksPhoneNumbers.xlsm,
ExcelTask1\R_aavHGFQuo1QwXKx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2AX5jC9QR6m4ZNR_TasksPhoneNumbers.xlsm,
ExcelTask1\R_30vntp1NtdLAgsh_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3rYSEBB6T4BZVQD_TasksPhoneNumbers.xlsm,"SEARCH, MID, CONCATENATE"
ExcelTask1\R_b9E1tQc1bbm7Vmh_TasksPhoneNumbers_modified.xlsm,
ExcelTask1\R_2dZvmqYmFuFfT1S_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2YzvdsKiEuqLVs6_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2ztHKjVqK4YCqcp_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3EqYpF6mMHJUQbD_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1GvQF7wvI0J1LGI_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3GwWd2QMFBQ24R9_TasksPhoneNumbers.xlsm,
ExcelTask1\R_11bg0GblFTI0c2g_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Jkll2UDBkqfrCX_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2QXTRaf17yJRI67_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1UlQuGi9PRgQMzn_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2frk9NZtDLQa25V_TasksPhoneNumbers.xlsm,
ExcelTask1\R_OuJmS6VIA5WAlJT_excel_task_finished.xlsm,"T, IFERROR, MID, FIND, SEARCH"
ExcelTask1\R_O2oQELzTIKhBWMx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1jWkXpR4CbpwbY8_TasksPhoneNumbers.xlsm,"IFERROR, MID, SEARCH"
ExcelTask1\R_2c1xKfGuq2W5CYx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3oNRcG6BAkrlRoj_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2wHo1i7UrDPnsBO_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2V3FtcXMCis4X8A_TasksPhoneNumbers.xlsm,
ExcelTask1\R_QfFW9RGEKQsr71f_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1ig84qHeRpEjQdb_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_31SjjVW0Kwwet7K_macro.xlsm,
ExcelTask1\R_2UcpztPwZaZ1mKV_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2PvzxluNOM9WP8p_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3peWW5COwgpcrHI_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2w0l6Xjmf33CbJz_Copy_of_TasksPhoneNumbers.xlsm,"LEFT, RIGHT, LEN, SEARCH"
ExcelTask1\R_2CyprCaunWph1s8_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_UfJbNjFKQ2GSdTr_TasksPhoneNumbers.xlsm,RIGHT
ExcelTask1\R_oY0P1OTsb3uoq5P_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2b12SXg1T35yknf_TasksPhoneNumbers.xlsm,
ExcelTask1\R_77MUeZldQeNF3YR_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3dKXo3bDJREA7bm_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2CxF6e0L5W2vumx_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_1DXVK1BODD2ghkq_TasksPhoneNumbers.xlsm,
ExcelTask1\TasksPhoneNumbers_WorkerID_A3DXUDP72R7GE1.xlsm,
ExcelTask1\R_yxolEkCQZ3ijbIl_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2uPMmIXv4MdSviS_TasksPhoneNumbers.xlsm,"CONCATENATE, RIGHT, LEFT"
ExcelTask1\R_8izVvYhoGZzLsWZ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_21n5oSnA9w4rlcc_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2U5XTnuc0vkJ7lO_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3qKdru6CuD41C8J_TasksPhoneNumbers1.xlsm,
ExcelTask1\R_2SrbDTD7ALeLBNI_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3FXWhMshOjiobYr_TasksPhoneNumbers.xlsm,"IFERROR, MID, FIND"
ExcelTask1\R_2rvsF7SwGxIliHD_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3Kx3ECz2Z5AM2FT_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2aCXB4UeUoYVwOX_TasksPhoneNumbers.xlsm,
ExcelTask1\R_8jBSnOwkaUzfHH3_TasksPhoneNumbers.xlsm,
ExcelTask1\R_27EkcQLv7wZSGcG_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1H5W4DJMrMzwbkC_TasksPhoneNumbers.xlsm,
ExcelTask1\R_eViAxlbSU0BASyd_Copy_of_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_1g2AlTC3RLBJkIE_TasksPhoneNumbers.xlsm,
ExcelTask1\R_aVPPyF7g506eF21_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1rP2jGw4MDpdyVg_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1jJq7h2ctoiSIur_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2rpwWw9Q5fLpJG4_TasksPhoneNumbers.xlsm,
ExcelTask1\R_22LKWdUqrpcHhNW_Copy_of_TasksPhoneNumbers.xlsm,"REPLACE, MAX, IFERROR, MID, SUBSTITUTE, ROW, INDIRECT, LEN"
ExcelTask1\R_3erj5RFqjxoqoZf_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1PdzXD7gQZLxVrp_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_27jy7QZL6Lw48CN_TasksPhoneNumbers.xlsm,
ExcelTask1\R_23UC6zq1ufi5GyC_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_WAL9AH6NUqHmf3r_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2ZHMt7ZVWrzHkta_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_XnYJEuddA6pC1hf_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2QSAvA0fyMntEZ2_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1f2EvHvSRKgEFhE_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2wEop9QkrZW6CAx_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3NR5uKeTTwmHrsO_TasksPhoneNumbers.xlsm,
ExcelTask1\R_27CH5HQqYPfRwKi_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3frC9jkmLZQS7GW_Copy_of_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_3EKW8mlXMlWxd82_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1mymkSYlGyNfjdm_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3gNJ3Oda4aDS3nc_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2WTqAA6adFlaXWq_TPN.xlsm,"MID, FIND"
ExcelTask1\R_RFhSkwJv2hHLT1v_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1jAGatdsODwvnYG_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3CHsFpVCd5YkgB3_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1lfzWsqQrKxCtn2_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3a7cD3b3CoDKws9_Mturktask.xlsm,
ExcelTask1\R_30oap1rKPl4T1GN_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3QSGxOZmPJsFLXF_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_Dra20VMhJvklra1_TasksPhoneNumbers.xlsm,LEFT
ExcelTask1\R_uk4sIyboQ3GReHn_TasksPhoneNumbers.xlsm,
ExcelTask1\R_C9wQQAnuDAch2Ex_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_12PTlZIcMMR3dKT_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1KqW9m2T4Tqb5b0_TasksPhoneNumbers.xlsm,"FIND, LEFT, RIGHT, LEN"
ExcelTask1\R_SIAxLps8IIxtN3H_TasksPhoneNumbers.xlsm,
ExcelTask1\R_301qoYEcQKGXo8k_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_2bGYWAAC1wi9UNq_TasksPhoneNumbers.xlsm,
ExcelTask1\R_33ByLwtNfJ6nu3r_TasksPhoneNumbers.xlsm,"MID, SEARCH"
ExcelTask1\R_23U1a2KRqEujgWX_TasksPhoneNumbers.xlsm,"IF, OR, MAX, ISERROR, MID, SUBSTITUTE, ROW, INDIRECT, LEN"
ExcelTask1\R_1LtVBHZRxy6A85R_TasksPhoneNumbers_XLSM.xlsm,MID
ExcelTask1\R_3I4eZwPQeqpOkC3_TasksPhoneNumbers.xlsm,
ExcelTask1\R_Usv4bjaMTUZQalz_Copy_of_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_4Tq1mOOVAmIsONb_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1rMR3rh4pfno6a1_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3NLeHvkNcrsoIhb_TasksPhoneNumbers.xlsm,
ExcelTask1\R_3no85mzMY7F1aB9_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2fEcI5pGrtNj7rC_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_2rqFu9EZXaM3nt1_Copy_of_TasksPhoneNumbers.xlsm,"MID, FIND, CONCATENATE"
ExcelTask1\R_s55sfDB9UkzjmCJ_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2PoHbPVhzqkhlYX_Copy_of_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2aa79HHvLZz7c2E_TasksPhoneNumbers.xlsm,
ExcelTask1\R_231Z8LssVUkP8MU_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2fkvAmhlktmPgeo_TasksPhoneNumbers.xlsm,
ExcelTask1\R_4UsvDtDgdM3ZGpj_TasksPhoneNumbers.xlsm,
ExcelTask1\R_2SdIiWTyPPjXmm0_TasksPhoneNumbers.xlsm,"MID, FIND"
ExcelTask1\R_1hGf8OgA66u2NaE_TasksPhoneNumbers.xlsm,
ExcelTask1\R_UuzZJ08GCzCP2yB_TasksPhoneNumbers.xlsm,
ExcelTask1\R_XYsigvEcLvAMwtH_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1Q9QrjjpYRxVN1W_TasksPhoneNumbers.xlsm,
ExcelTask1\R_1LjkYPQe6FtHerR_TasksPhoneNumbers.xlsm,
ExcelTask1\R_TdTgDXaGEwtgETf_Copy_of_TasksPhoneNumbers.xlsm,
